id,created_at,retweet_count,text
1034662381056487424,2018-08-29 04:41:49,20,"IISc alumni of various batches met at Chicago on Aug 26 along with the Director and several faculty members, in an event organized by @iiscaana (Photo credit: Tanmoy Pal) https://t.co/8cOtVtyjzI"
1034298797143158784,2018-08-28 04:37:04,15,"RT @writetake: #PeoplesScientist Dr K Sivan, Chairman @isro with future aerospace stars of @iiscbangalore during 37 Annual Brahm Prakash Me…"
1032865596591853568,2018-08-24 05:42:02,5,RT @fishtiaq: #Researchers from @iiscbangalore and @sheffielduni have studied how smaller herbivores are being sensitive to the alarming ch…
1028945717711106048,2018-08-13 10:05:50,18,"RT @moesgoi: Prof. Sekhar Muddu is a Professor in Department of Civil Engineering, IISc, Bengaluru. In recognition to his contributions in…"
1028868860693250049,2018-08-13 05:00:26,18,"IISc Director Prof. Anurag Kumar will hold two interactive sessions with young researchers interested in faculty positions at IISc, on Aug 27 @ University of Chicago &amp; Aug 30 @ Johns Hopkins University. Please sign up by Aug 15 to attend these sessions at: https://t.co/26O2CYjbK5"
1028193261809152000,2018-08-11 08:15:51,19,"RT @NITIAayog: Chaired by Adviser (Industry) @annaroy9, an Interactive session is currently underway with representatives from academia, pr…"
1028158701620813824,2018-08-11 05:58:31,7,Several faculty members and post-doctoral fellows from IISc have been recommended for the @India_Alliance Early Career &amp; Intermediate Fellowships under the basic biomedical research category https://t.co/hEtFQys07W https://t.co/QBwkxbIhS9
1027427783998242818,2018-08-09 05:34:07,23,"Avra Labs has made a generous philanthropic contribution to support a state-of-the-art 300-seater auditorium in the upcoming Chemical Sciences building at IISc. The auditorium will be named after founder &amp; CMD Dr. AV Rama Rao, a renowned organic chemist. https://t.co/DbSmAaadRH https://t.co/2kxKht370M"
1027138037447180289,2018-08-08 10:22:46,7,"Two faculty members, Dr. Mayank Shrivastava (DESE) and Dr. Arpita Patra (CSA), have received the NASI Young Scientist Platinum Jubilee Award 2018 https://t.co/wVwUViOHGS https://t.co/l9hb4FnqHg"
1026803132045488128,2018-08-07 12:11:58,27,"In a new study, researchers from IISc report an atom-to-circuit modeling tool to estimate the performance of 2D materials https://t.co/N1Ny6N1Nka
https://t.co/CL6fmZx1Lm https://t.co/UHF4oEeLYr"
1024201872020656129,2018-07-31 07:55:29,36,"RT @thewire_in: Kusala Rajendran, a seismologist, has won the first national award for women scientists. Read about her research around the…"
1024183899948179457,2018-07-31 06:44:04,10,Researchers led by Prof G Mugesh (IPC) have figured out a way to boost the movement of fluorescent probes across the cell membrane -- substituting 2 hydrogen atoms with iodine increases their cellular uptake from ~5% to 98%. https://t.co/T43e1FqdPA https://t.co/SRumtX4RuL https://t.co/s7CDqOLyFr
1023793780187488256,2018-07-30 04:53:53,39,Prof. Kusala Rajendran (Earth Sciences) and Prof. M. Sekhar (Civil Engg) receive prestigious national awards from Ministry of Earth Sciences. https://t.co/zSDK46qVKq
1022017277846347776,2018-07-25 07:14:41,7,RT @CeNSEatIISc: @CeNSEatIISc @iiscbangalore start-up PATHSHODH honoured for Anupath product at #DesignImpactAwards bravo team pathshodh a…
1020173383466549248,2018-07-20 05:07:43,676,"RT @aparanjape: IISc Bangalore alumnus-run Akshaya Patra is the world's largest mid-day meal provider, feeds 1.7 million children across In…"
1019506021868265472,2018-07-18 08:55:51,15,"RT @NatureInd: Cholesterol helps bacterial toxins kill cells, @iiscbangalore scentists find https://t.co/q3zJ1ZYzqa https://t.co/51a5FRtL96"
1018021814579146753,2018-07-14 06:38:09,103,A compact and efficient supercapacitor printed on a flexible plastic sheet has been developed by researchers at IISc https://t.co/0tJkAyimi6 https://t.co/HSZ8w7YZ44 https://t.co/DNnmsWOCH5
1016722222566780928,2018-07-10 16:34:02,38,"IISc has been accorded the prestigious Institution-of-Eminence status by the Ministry of HRD

https://t.co/r9qsgufUIZ"
1012519940371316736,2018-06-29 02:15:40,8,https://t.co/ztD38qtNCe https://t.co/46Oh2wGqHd
1011957107321520128,2018-06-27 12:59:10,52,"aNANt: An open-access online repository of functional materials which hosts electronic &amp; structural properties of more than 10000 materials has been developed by researchers at MRC, IISc https://t.co/UJOJ7YE9pr https://t.co/dFfogrrfKB https://t.co/MOmT80wjBP"
1011556858094448640,2018-06-26 10:28:43,14,"RT @Bioconlimited: In her convocation address at @iiscbangalore, #Biocon CMD @KiranShaw emphasized on the importance of #Academia in inspir…"
1011250212789030912,2018-06-25 14:10:13,25,RT @kiranshaw: It was an honour to deliver the convocation address at IISc on the theme “Academia must inspire Society through Science” - s…
1011148590947844096,2018-06-25 07:26:24,23,"RT @TheHinduScience: IISc researchers find asthma drug effective in treating TB
https://t.co/QRYX9DxZ0f"
1010104833703989248,2018-06-22 10:18:53,13,"This year's convocation will be held on Monday, June 25, 2018 at IISc. Honoured to have @kiranshaw as the Chief Guest. https://t.co/uTzVBYxaS7"
1009987022163927040,2018-06-22 02:30:45,25,"The Centre for Continuing Education at IISc will be offering 30 Proficience courses for working professionals during the Aug-Dec 2018 term. 

For more details about courses and how to apply, please visit: https://t.co/kXeeVAH2vi"
1009747540021936128,2018-06-21 10:39:08,27,"RT @TIFRScience: TIFR scientists, in collaboration with IISER Pune and @iiscbangalore , discover how the liver controls fat flow into the b…"
1009693365015756800,2018-06-21 07:03:52,76,What was life at IISc like for some of the early women students and faculty members? The institute's Connect magazine features some of their recollections &amp; an interview with 101-yr-old alumna Violet Bajaj + other interesting stories from IISc's past: https://t.co/aJ9i3GSKVd https://t.co/Tvpvo3gYnz
1009667524835676160,2018-06-21 05:21:11,15,"RT @firstpost: #WomenInScience Prerna Sharma recounts her journey in research at the intersection of physics and biology, this week on @lab…"
1008976760208125952,2018-06-19 07:36:20,29,"RT @NCBS_Bangalore: SPEEC-UP is back! An exciting one-day conference with student presentations on Ecology, Evolution, Environmental Scienc…"
1008599343375396864,2018-06-18 06:36:36,38,"RT @HRDMinistry: Smart India Hackathon 2018 - Hardware Edition aims at young,technical minds of the Nation to showcase their innovations an…"
