,id,created_at,retweet_count,text
0,1035060980286251008,2018-08-30 07:05:42,1,"@iiit_hyderabad turns 20! The countdown begins to a weekend of celebrating the institute, its research and innovations. See you there! #iiith, #iiithyderabad #iiithturnstwenty #showcase https://t.co/2asHoMRZoz"
12,1030022347397324800,2018-08-16 09:23:59,4,"Sheikh Zakir Hussain, MS by Research student from the Signal Processing and Communications Research Centre (SPCRC) shares his latest research on tackling mobile network issues. https://t.co/6OGb3POu5n
#iiith #iiithyderabad #spcrc #5G https://t.co/L97tRUaX0a"
27,1025307202402144256,2018-08-03 09:07:40,7,"A digital tour guide of a heritage structure? So what’s new, you may ask. IIIT-H students from the CVIT research centre have come out with a unique approach that lets you customize the tour with a story-telling experience that maps your interests. Read on. https://t.co/GrQXehrxum https://t.co/6V23P2GttS"
36,1019498671207903232,2018-07-18 08:26:39,3,"This senior research fellow from the Lab of Spatial Informatics at IIITH has been winning accolades and creating waves at every international conference and workshop she’s attended this year. Meet 26-year-old Salghuna Nair from Trichy, Tamil Nadu. https://t.co/1xnWFLRYNN https://t.co/YRfp7rCdWh"
37,1018734548677320705,2018-07-16 05:50:18,5,"Prof @aniketalam from Centre of Exact Humanities, IIIT-Hyderabad is researching the continuity and change in Spiti Valley over the past millennia. Read on to find out how he's going about it.
https://t.co/w0KlAPI64l https://t.co/CJ5tvhgXXz"
44,1014385238783373313,2018-07-04 05:47:41,6,"With its emphasis on applied research, IIIT-H's Structured Software Analysis and Design (SSAD) course encourages undergrads to work with startups and SMEs. If you're a startup looking to build a prototype, read on.https://t.co/jMEFRfWlFM #SSAD #iiith #serc https://t.co/QdRIlv603v"
52,1000993496864407552,2018-05-28 06:53:41,7,"In honour of their son, Vedant Kidambi (special MS by Research student, 2008-2010), Girija and Uday Kumar have created an endowment fund supported by a generous donation of 20 lakhs towards research in the field of Cognitive Science at @iiit_hyderabad .https://t.co/lAdwhdXphj https://t.co/nr3gw2dHGe"
63,989024302925320192,2018-04-25 06:12:23,1,"From building algorithms that model Hindi-English speech to rock climbing, Fulbright-Nehru scholar Kelsey Taylor Ball shares her experience of completing her research project and enjoying India’s kaleidoscopic diversity during her tenure at IIIT-H. https://t.co/jgwxPHlDfs https://t.co/8kG6vkgbr9"
68,987278879311081475,2018-04-20 10:36:42,8,"A delegation of students from IIIT-H led by @devvarma attended @ecir2018 in Grenoble, France. We take you through a brief summary of their research work presented at this premier forum. https://t.co/SllYrJDqUF https://t.co/xWTmlNLkdG"
71,986174461882716160,2018-04-17 09:28:08,0,"With the world being driven by intellectual property and deeptech, there’s an immediate need to take research from lab to land @rameshl1 discusses real-world problems faced by industry and universities, and how IIIT-Hyderabad is attempting to overcome them https://t.co/vWr40XWFCX https://t.co/DWjqrNKgdn"
